No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
143,disposição introduzida em suporte reutilizável para gelar bebidas,MAURO PONTES MUNIZ [BR],MAURO PONTES MUNIZ [BR],BR202019013964U2,2019-07-05,"A47G23/04 
B65D81/38","A47G23/04 (BR) 
B65D81/38 (BR) 
Y02W30/80 (EP)",2021-01-12,2021-01-12,74502130
144,disposição construtiva em recipiente empilhável,ADRIANO PIOLA [BR],COLORE TINTAS E INDUSTRIA QUIM EIRELI [BR],BR202019013091U2,2019-06-24,B65D1/16,B65D1/16 (BR),2021-01-05,2021-01-05,74502033
145,configuração aplicada em sapateira modular,DEREILTON SANTOS SOUZA [BR],DEREILTON SANTOS SOUZA [BR],BR202019013147U2,2019-06-25,"A45C13/02 
A47G25/00","A45C13/02 (BR) 
A47G25/00 (BR)",2021-01-05,2021-01-05,74502017
146,disposição introduzida em grampo de fixação de estruturas metálicas,LUIZ CARLOS BEZERRA [BR],LUIZ CARLOS BEZERRA [BR],BR202020016807U2,2020-08-18,F16B2/02,F16B2/02 (BR),2021-01-05,2021-01-05,74502044
147,caçamba giratória,LUIZ EDUARDO MENDES [BR],LUIZ EDUARDO MENDES [BR],BR202019013855U2,2019-07-04,B60P1/64,B60P1/6418 (BR),2021-01-12,2021-01-12,74502115
148,"produto baseado em lcc para controle de insetos vetores, parasitas e pragas agrícolas","ALEXEIA BARUFATTI [BR] 
BRUNO DO AMARAL CRISPIM [BR] 
CHAIANE REGINA RECH [BR] 
EDUARDO JOSÉ DE ARRUDA [BR] 
FELIPE MENDES MEREY [BR] 
HÉLINA DOS SANTOS NASCIMENTO [BR] 
KELLY MARI PIRES DE OLIVEIRA [BR] 
RICARDO AUGUSTO DOS PASSOS [BR] 
SILVIA MARIA MARTELLI [BR]",UNIV FEDERAL DA GRANDE DOURADOS [BR],BR102019014226A2,2019-07-09,"A01N65/08 
A01P1/00",A01N65/08 (BR),2021-01-19,2021-01-19,74504407
149,articulador quase invisível para brincos e adornos,BENEDITO ELESBÃO [BR],BENEDITO ELESBAO [BR],BR102019014703A2,2019-07-17,A44C7/00,"A44C7/003 (BR) 
A44C7/007 (BR)",2021-01-19,2021-01-19,74504393
150,dispositivo com meio de iluminação localizada para prática de trabalhos manuais diversos,"HUMBERTO CANOBRE [BR] 
MAURICIO ELIAS DANHESSI [BR]","HUMBERTO CANOBRE [BR] 
MAURICIO ELIAS DANHESSI [BR]",BR102019014587A2,2019-07-15,"A46B15/00 
F21V33/00",,2021-01-26,2021-01-26,74504624
151,sistema de monitoramento com iot industrial para as conexões elétricas de aterramentos temporários,"ADELFO BRAZ BARNABÉ [BR] 
ALEXANDRO SANTA ROSA [BR] 
RICARDO AUGUSTO DE ARAÚJO [BR]",TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S A TAESA [BR],BR102019013742A2,2019-07-02,"G01R31/08 
H02J13/00","Y02E60/00 (EP) 
Y04S10/52 (EP) 
Y04S40/126 (EP) 
Y04S40/128 (EP)",2021-01-12,2021-01-12,74502095
152,filamento radiopaco para uso em impressões 3d,"JURGEN SAND [BR] 
MARCO ANTONIO BERTONCINI ANDRADE [BR] 
MATHEUS BRUM MARQUES BIANCHI SAVI [BR]","INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE SANTA CATARINA [BR] 
JURGEN SAND 00383992966 [BR]",BR102019013117A2,2019-06-24,"C08K3/013 
C08K3/26 
C08K3/30 
C08L55/02 
D01F6/30","C08K3/013 (BR) 
C08K3/26 (BR) 
C08K3/30 (BR) 
C08L55/02 (BR) 
D01F6/30 (BR)",2021-01-05,2021-01-05,74214937
153,estojo acondicionador e organizador de cartuchos para máquinas rotativas de tatuagem,ANDRESSA MARIANO LEITÃO [BR],BODY MEDIC COMERCIO DE PRODUTOS PARA VESTUARIO ESTETICA POS CIRURGICO IMP E EXPORTACAO LTDA [BR],BR102019013929A2,2019-07-04,"A61M35/00 
A61M37/00",A61M37/0076 (BR),2021-01-12,2021-01-12,74502076
154,configuração aplicada em laringoboroscópio ou videolaringoscópio 3d para smartphones,"IVAN DIAS FERNANDES PEREIRA [BR] 
THIAGO MATTIA [BR]",IVAN DIAS FERNANDES PEREIRA [BR],BR202019014222U2,2019-07-09,A61B1/267,,2021-01-12,2021-01-12,74502153
155,sistema de monitoramento engate e posição tridimensional de pino rei em quinta roda,"HENRIQUE BERNARDES ALVES BATISTA [BR] 
IGOR AUGUSTO BATISTA [BR]",IGOR AUGUSTO ALVES BATISTA [BR],BR102019014517A2,2019-07-12,B62D53/08,B62D53/0842 (BR),2021-01-26,2021-01-26,74504635
156,"disposição introduzida em respiro impermeável para calçados e similares"".",LUIZ OSCAR BAXMANN [BR],LUIZ OSCAR BAXMANN [BR],BR202019014671U2,2019-07-16,A43B7/08,A43B7/08 (BR),2021-01-26,2021-01-26,74504669
157,método para produção de quitinase fúngica por fermentação submersa pela espécie curvularia lunata urm6861,"ALINE GLEYCE JULIAO BOMFIM [BR] 
CRISTINA MARIA DE SOUZA MOTTA [BR] 
JOAO TIAGO CORREIA OLIVEIRA [BR] 
JOYCE BARROS DOS SANTOS [BR] 
KEILA APARECIDA MOREIRA [BR]","UNIV FEDERAL RURAL DE PERNAMBUCO [BR] 
UNIV PERNAMBUCO FEDERAL [BR]",BR102019014165A2,2019-07-09,"C12P1/02 
C12R1/645",,2021-01-19,2021-01-19,74504391
158,aperfeiçoamento introduzido em sistema de rádio frequência por código de barras para verificação e controle da validade de produtos,WILLIAM DOS SANTOS DE OLIVEIRA [BR],WILLIAM DOS SANTOS DE OLIVEIRA [BR],BR202019014625U2,2019-07-16,G06K7/14,G06K7/14 (BR),2021-01-19,2021-01-19,74504333
159,sensor de nível e plano em rede hidrostática,"ANDRÉ DE ARAUJO CUNHA JUNIOR [BR] 
GUILHERME JOVANINI MONTAGNER [BR] 
WILLIAM ROBERT HEINRICH [BR]",SETUP AUTOMACAO E CONTR DE PROC LTDA [BR],BR102019014546A2,2019-07-15,"G01C5/04 
G01F23/00","G01C5/04 (BR) 
G01F23/00 (BR)",2021-01-26,2021-01-26,74504623
160,superfície de detecção de toque auto descontaminante,RAFAEL VIANA MENDES [BR],RAFAEL VIANA MENDES [BR],BR102020013480A2,2020-06-30,"A61L2/10 
A61N5/06","A61L2/10 (BR) 
A61N5/0624 (BR) 
A61L2202/14 (BR)",2021-01-19,2021-01-19,74504321
161,material absorvente a base de hidrogéis de copolímeros de poliacrilamida,"HENRIQUE LUIZ GONÇALVES [BR] 
LEONARDO VASCONCELOS FREGOLENTE [BR] 
MARIA REGINA WOLF MACIEL [BR] 
PATRICIA BOGALHOS LUCENTE FREGOLENTE [BR]",UNIV ESTADUAL CAMPINAS UNICAMP [BR],BR132019014884E2,2019-07-19,"B01D39/16 
B01J20/26","B01D39/1623 (BR) 
B01J20/261 (BR) 
B01J20/264 (BR) 
B01J20/267 (BR)",2021-01-26,2021-01-26,74504618
162,sistema automatizado anti vazamento de gás,"ANDRÉ LUIS DE ARAÚJO DOS REIS [BR] 
ERICK DE ARAÚJO CALOGERO [BR] 
LURIANE PEREIRA VELOSO [BR] 
MAIKE JOSÉ APRECIDO DA SILVA [BR] 
THIAGO YUDI TAKEDA [BR] 
WILLIE DO VALE DA SILVA [BR]","ANDRE LUIS DE ARAUJO DOS REIS [BR] 
ERICK DE ARAUJO CALOGERO [BR] 
LURIANE PEREIRA VELOSO [BR] 
MAIKE JOSE APARECIDO DA SILVA [BR] 
THIAGO YUDI TAKEDA [BR] 
WILLIE DO VALE DA SILVA [BR]",BR102019015094A2,2019-07-22,"G08B17/10 
G08B21/16",,2021-01-26,2021-01-26,74504652
163,medicamento tópico para tratar lipedema,"ALEXANDRE CAMPOS MORAES AMATO [BR] 
DANIEL AUGUSTO BENITTI [BR]","ALEXANDRE CAMPOS MORAES AMATO [BR] 
DANIEL AUGUSTO BENITTI [BR]",BR102019014764A2,2019-07-17,"A61K31/045 
A61K31/17 
A61K36/15 
A61K36/28 
A61K36/77 
A61P5/00",,2021-01-26,2021-01-26,74504656
164,sistema e método para ajuste automático dos meios de travamento de caminhões em plataforma de descarga,GUNTHER SAUR [BR],GUNTHER SAUR [BR],BR102019013046A2,2019-06-24,"B65G67/48 
B65G69/22",,2021-01-05,2021-01-05,74214925
165,"furadeira/parafusadeira, à bateria, com dispositivo óptico de auto desligamento, limitador de profundidade de corte",RICARDO HENRIQUE CAVALCANTI DE SANTANA [BR],SOC UNIFICADA DE ENSINO AUGUSTO MOTTA [BR],BR202019013129U2,2019-06-24,"B25B21/00 
B25B23/00 
B25H1/00 
F16C19/52","B25B23/0064 (BR) 
B25B21/002 (BR) 
B25H1/0092 (BR) 
F16C19/522 (BR) 
F16C2352/00 (BR)",2021-01-05,2021-01-05,74502035
166,dispositivo dosador de desifetante,ADEMIR CONCEIÇÃO DE SOUZA [BR],ADEMIR CONCEICAO DE SOUZA [BR],BR202019012911U2,2019-06-21,E03D9/02,,2021-01-05,2021-01-05,74502025
167,disposição construtiva introduzida em sofá multifuncional,RENATO JOSE FREIBERGER [BR],BELLARTE IND DE ESTOFADOS LTDA [BR],BR202019013102U2,2019-06-24,A47C17/13,"A47C17/13 (BR) 
A47C17/132 (BR)",2021-01-05,2021-01-05,74502032
168,aperfeiçoamento introduzido em afastador odontológico com sugador acoplado,PATRICIA CHAVES GONÇALVES [BR],PATRICIA CHAVES GONCALVES [BR],BR202019013063U2,2019-06-24,"A61B1/24 
A61C17/08 
A61C19/00 
A61C3/00 
A61C5/90","A61B1/24 (BR) 
A61C19/00 (BR) 
A61C3/00 (BR) 
A61C5/90 (BR)",2021-01-05,2021-01-05,74502013
169,sistema de módulos componíveis estruturais interconectáveis,GILBERTO ASCHIDAMINI [BR],GILBERTO ASCHIDAMINI [BR],BR112020004823A2,2018-06-14,"E04B1/24 
E04B1/61 
E04C1/39 
E04C2/08 
E04C3/02 
E04C3/32","E04B1/24 (EP) 
E04B1/61 (EP) 
E04C1/39 (EP) 
E04C2/08 (EP) 
E04C3/02 (EP) 
E04C3/32 (EP)",2021-01-05,2019-12-19,68841693
170,processo de tratamento da carepa de laminação e uso de seu produto como catalisador na síntese de nanotubos ou nanofibras de carbono em matrizes cimentícias,"JOSÉ MÁRCIO FONSECA CALIXTO [BR] 
LUIZ ORLANDO LADEIRA [BR] 
RAQUEL KENYA FERREIRA GONÇALVES DE OLIVEIRA [BR] 
TARCIZO DA CRUZ COSTA DE SOUZA [BR]","INTERCEMENT BRASIL S A [BR] 
PETROLEO BRASILEIRO SA PETROBRAS [BR] 
UNIV MINAS GERAIS [BR]",BR102019014332A2,2019-07-10,"B01J23/745 
B01J37/08 
C01B32/15 
C04B18/04","B01J23/745 (BR) 
B01J37/08 (BR) 
C01B32/15 (BR) 
C04B18/04 (BR) 
Y02W30/91 (EP)",2021-01-19,2021-01-19,74504378
171,aparador rotativo de gramas.,SIDINEI APARECIDO DELEFRATE [BR],SIDINEI APARECIDO DELEFRATE [BR],BR202019014522U2,2019-07-13,A01D34/71,A01D34/71 (BR),2021-01-26,2021-01-26,74504639
172,espeto de churrasco para acampamento - seguro para o transporte,"ANDRÉ LUIS APOLLO [BR] 
CARMEN IARA WALTER CALCAGNO [BR] 
DURVAL JOÃO DE BARBA JUNIOR [BR] 
MARCELO ANTÔNIO PIRES [BR]",INST FEDERAL SUL RIO GRANDENSE [BR],BR202019014389U2,2019-07-11,A47J37/04,,2021-01-19,2021-01-19,74504436
173,"processo para neutralizar os efeitos do pvc nos flocos de pet pós consumo, na fase de fusão dos processos de transformação da resina pet",WALTENCIR MAURICIO TEIXEIRA [BR],"RICARDO MAIETTINI PREVIATO [BR] 
WALTENCIR MAURICIO TEIXEIRA [BR]",BR102019013746A2,2019-07-02,"C08J11/16 
C08J3/12 
C08K3/105","B03B5/28 (EP) 
B29B17/02 (EP) 
C08J11/04 (EP) 
C08J11/24 (EP) 
Y02P20/143 (EP) 
Y02W30/52 (EP) 
Y02W30/62 (EP)",2021-01-12,2021-01-07,74100091
174,disposições aplicadas em motogeradores com cabine de proteção,"GERALDO JOSÉ BECCHI [BR] 
VALDEMIRO HACH LOPES [BR]",BUFFALO MOTORES & ACOPLADOS LTDA [BR],BR202019014443U2,2019-07-12,H02K5/04,"H02K5/04 (BR) 
F05B2240/941 (BR)",2021-01-26,2021-01-26,74504667
175,componente intermediário protético pilar zigomático,"ELTON FACO ALVES COSTA [BR] 
NILTON DE BORTOLI JUNIOR [BR]","ELTON FACO ALVES COSTA [BR] 
NILTON DE BORTOLI JUNIOR [BR]",BR132019012807E2,2019-06-19,A61C8/00,,2021-01-12,2021-01-12,74502170
176,sistema de arrefecimento de dispositivo eletrônico de fundo de poço,"MARIO GERMINO FERREIRA DA SILVA [BR] 
PAULO GUILHERME OLIVEIRA DE OLIVEIRA [BR]",PETROLEO BRASILEIRO SA PETROBRAS [BR],BR102019013939A2,2019-07-04,"B21D28/28 
B23K10/00 
E21B33/00",F28D7/02 (EP),2021-01-12,2021-01-07,74100086
177,dispositivo automático para mensurar quedas de granizo a partir de sensor de intensidade sonora,"JORGE ALBERTO MARTINS [BR] 
LEILA DROPRINCHINSKI MARTINS [BR] 
MARCOS VINICIUS BUENO DE MORAIS [BR]",UNIV PARANA TECNOLOGICA FEDERAL [BR],BR102019013066A2,2019-06-24,"G01W1/04 
G01W1/14",,2021-01-05,2021-01-05,74214936
178,aparelho de aquecimento e método para aumentar a vida útil de produtos abrasivos,"LUCAS GALANTI [BR] 
MARIANA CRAVO VERTONI [BR] 
NICOLAS SEBASTIEN MIEGEVILLE [BR] 
RODRIGO FARIA DE SOUZA [BR]",SAINT GOBAIN DO BRASIL PRODUTOS IND E PARA CONSTRUCAO LTDA [BR],BR102019013932A2,2019-07-04,C21D1/00,,2021-01-12,2021-01-12,74502075
179,disposição construtiva aplicada em churrasqueira com grelha dupla rotacionável e ajuste de altura de bandeja de carvão,LEANDRO ANSCHAU [BR],LEANDRO ANSCHAU [BR],BR202019013852U2,2019-07-04,A47J37/07,A47J37/074 (BR),2021-01-12,2021-01-12,74502113
180,método de controle de uma lavadora de artigos têxteis e lavadora de artigos têxteis,"ADRIANO BONATTO CARDOZO [BR] 
ALVARO VOLPATO JUNIOR [BR] 
CARLOS ALBERTO ROCHA [BR] 
CECILIA MITSUE TOTAKE UECHI [BR] 
LUIZ ALBERTO MINSKI [BR] 
MARCELO PIEKARSKI [BR]",ELECTROLUX DO BRASIL S/A [BR],BR102019013685A2,2019-07-01,"D06F33/00 
D06F37/36 
D06F39/08","D06F39/08 (BR) 
D06F33/00 (BR) 
D06F37/36 (BR) 
Y02B40/00 (EP)",2021-01-05,2021-01-05,74501989
181,compósito biodegradável utilizando bagaço de laranja e seus processos de fabricação,"JOSÉ PAULO CORDEIRO CAMPOS [BR] 
LUAN VIEIRA BRITO DE CAMPOS [BR] 
LUCAS CORRÊA BATISTA [BR]",INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO [BR],BR102019014288A2,2019-07-10,"B29B9/00 
B29B9/12 
B29C48/00 
C08J3/05 
C08J3/24 
C08L67/00 
C08L67/02 
C08L67/04","C08L67/04 (BR) 
B29B9/00 (BR) 
B29B9/12 (BR) 
C08J3/05 (BR) 
C08J3/24 (BR) 
C08L67/00 (BR) 
C08L67/02 (BR)",2021-01-12,2021-01-12,74502097
182,agentes anti-helmínticos à base de chalconas frente a fasciola hepatica,"ALLISON CARLOS ASSUNÇÃO SILVA [BR] 
CAROLINE CARAPINA DA SILVA [BR] 
CLÁUDIO MARTIN PEREIRA DE PEREIRA [BR] 
LUCIANO SISCONETTO BORJA [BR] 
LUIZA MARQUES DE ARAÚJO [BR] 
MARIA ELISABETH AIRES BERNE [BR] 
MARINA RITTER [BR] 
NATÁLIA BERNE PINHEIRO [BR] 
PATRÍCIA DA SILVA NASCENTE [BR] 
TIAGO VEIRAS COLLARES [BR]",UNIV PELOTAS FEDERAL [BR],BR102019014851A2,2019-07-18,"A61P33/10 
C07C49/796 
C07C49/835 
C07D333/22","A61P33/10 (BR) 
C07C49/796 (BR) 
C07C49/835 (BR) 
C07D333/22 (BR)",2021-01-26,2021-01-26,74504612
183,disposição construtiva em caçamba de carga para caminhão,ELIAS MARCOS [BR],ELIAS MARCOS [BR],BR202019013073U2,2019-06-24,"B60J7/14 
B60P7/02 
B62D33/027 
B65D88/52","B62D33/0273 (BR) 
B60J7/141 (BR) 
B60P7/02 (BR) 
B65D88/52 (BR)",2021-01-05,2021-01-05,74502014
184,"embalagem flexível com alça em kit para sabonetes barras de banho, para alçar no registro do chuveiro",EDUARDO DONIZETE BERTOLDO [BR],"COSMETTOS B C COSMETICOS LTDA [BR] 
EDUARDO DONIZETE BERTOLDO [BR]",BR202019014521U2,2019-07-13,"A47G29/087 
A47K1/09 
A47K5/02","A47G29/087 (BR) 
A47K1/09 (BR) 
A47K5/02 (BR)",2021-01-26,2021-01-26,74504665
185,sistema e método de extração de óleo e seu uso,"ADILSON MANZANO [BR] 
ALIPIO CARDOSO RIBEIRO [BR] 
AMIRALDO GUEDES PINHEIRO [BR] 
DEBORAH RIBEIRO DOS SANTOS [BR] 
DINAIR BRASIL DE LIMA [BR] 
ELIZEU LOBATO MENDONÇA [BR] 
FARID NAZIH SAADI [BR] 
FERNANDA GODOI SBAGLIA [BR] 
ISAQUINHO GONÇALVES DA SILVA [BR] 
JOSÉ MARIA DE SOUZA MENDONÇA [BR] 
LAERSON DA SILVA CORREA [BR] 
LUCIMARIO DOS SANTOS DE SOUZA [BR] 
MANOEL DA SILVA TEIXEIRA [BR] 
MANOEL RAIMUNDO DA SILVA COSTA [BR] 
MARIA DO ROSÁRIO FERREIRA GOMES [BR] 
NORIS GONÇALVES FERREIRA [BR] 
OSIEL VILHENA DOS SANTOS [BR] 
RAY RIBEIRO DE OLIVEIRA [BR] 
SAMUEL MENDES DE LIMA [BR] 
SÉRGIO TAFNER MARTINS DOS SANTOS [BR] 
VALDIR MENDES PINHEIRO [BR]","ASSOCIACAO DOS PRODUTORES RURAIS DO RIO GUAJARA – NATUREZA E VIDA [BR] 
LOCCITANE DO BRASIL S A [BR]",BR102019013491A2,2019-06-28,"C11B1/04 
C11B1/10 
C11B1/12",,2021-01-05,2021-01-05,74502011
186,"suplemento alimentar para a nutrição animal, em especial para suínos","BRUNO OLIVER ROSA [BR] 
CAMILA PINHEIRO SILVA CAZADO [BR] 
ISABELA FUKUDA DE MENEZES [BR] 
KÁTIA HELENA TERRÍBILLE BORRAJO [BR] 
LAURA MARIA OLIVEIRA BORGATTI [BR] 
MAURÍCIO NACIF DE FARIA [BR] 
NAYLA PÁDUA DEL BIANCO GONTIJO SOUKI [BR] 
SAMANTHA CRISTINA DE PINHO [BR]","AGROCERES MULTIMIX NUTRICAO ANIMAL LTDA [BR] 
UNIV SAO PAULO [BR]",BR102020018572A2,2020-09-11,"A23K20/158 
A23K20/163 
A23K20/20 
A23K50/30","A23K20/158 (BR) 
A23K20/163 (BR) 
A23K20/20 (BR) 
A23K50/30 (BR)",2021-01-19,2021-01-19,74504424
187,equipamento soldador portátil.,RENZZO SCALON [BR],SPARK ELETRONICA LTDA [BR],BR102020016754A2,2020-08-17,"B23K28/02 
B23K37/02","B23K37/0205 (BR) 
B23K37/0258 (BR) 
B23K28/02 (BR) 
B23K37/0294 (BR)",2021-01-19,2021-01-19,74504422
188,"disposição técnica e construtiva introduzida em válvulas, terminais, luvas e outros dispositivos",EUGÊNIO MONTES PORTELA [BR],EUGENIO MONTES PORTELA [BR],BR202019013846U2,2019-07-03,F16B7/04,F16B7/0406 (BR),2021-01-12,2021-01-12,74502117
189,catraca dupla com unidade superior cilíndrica,VANDER APARECIDO LOPES SANTOS [BR],VANDER APARECIDO LOPES SANTOS [BR],BR202019014254U2,2019-07-10,B60N5/00,,2021-01-19,2021-01-19,74504450
190,painéis protetores para veículos de transporte de toras,LAURO PASTRE JUNIOR [BR],IND METALURGICA PASTRE LTDA [BR],BR102019014733A2,2019-07-17,"B60P3/41 
B62D33/02",,2021-01-26,2021-01-26,74504607
191,processamento de farinha de banana verde com amido modificado,"GENILSON DE PAIVA [BR] 
MONICA RIBEIRO PIROZI [BR]","FUND AMPARO PESQUISA ESTADO MINAS GERAIS FAPEMIG [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO [BR] 
UNIV FEDERAL VICOSA [BR]",BR102019014113A2,2019-07-08,"A23L19/00 
A23L3/40","A23L19/01 (BR) 
A23L3/40 (BR)",2021-01-19,2021-01-19,74504363
192,evento desafio de vendas,ANTONIO CONSTANTINO TURQUIA FILHO [BR],RANGERS CONSULTORIA E TREINAMENTO LTDA [BR],BR102019013160A2,2019-06-25,"G06Q10/06 
G06Q30/06",,2021-01-05,2021-01-05,74214941
193,adjuvante para pulverização agrícola a partir de óleo de casca de laranja,SANTIAGO FERMÍN WIRSCH [BR],SANTIAGO FERMIN WIRSCH [BR],BR102019013696A2,2019-07-01,"A01N25/02 
A01N25/30","A01N25/02 (BR) 
A01N25/30 (BR)",2021-01-12,2021-01-12,74502085
194,aperfeiçoamentos em meio de engate entre perfil estrutural e tampa de acabamento lateral,"JOTANAEL MOREIRA DE SOUZA [BR] 
RENATO ALBUQUERQUE DE OLIVEIRA [BR]","JOTANAEL MOREIRA DE SOUZA [BR] 
RENATO ALBUQUERQUE DE OLIVEIRA [BR]",BR102019013998A2,2019-07-05,E06B3/42,E06B3/42 (BR),2021-01-12,2021-01-12,74502091
195,sistema de auto recarga de baterias,MARCOS VOLPE FILHO [BR],MARCOS VOLPE FILHO [BR],BR202019013097U2,2019-06-24,H02J7/00,H02J7/00 (BR),2021-01-05,2021-01-05,74502015
196,dispositivo de segurança fixo para celulares e tablets,SILVANO DOTTA [BR],ATLAS EXPORT IMP E EXPORTACAO LTDA [BR],BR202019014812U2,2019-07-18,F16M11/02,F16M11/02 (BR),2021-01-26,2021-01-26,74504675
197,disposição aplicada em contentores flexíveis,"RENATO MARTINS ALVES DE MORAES [BR] 
ROBERTA NOGUEIRA MARTINS [BR]","RENATO MARTINS ALVES DE MORAES [BR] 
ROBERTA NOGUEIRA MARTINS [BR]",BR202019014383U2,2019-07-11,B65D88/16,,2021-01-19,2021-01-19,74504337
198,rádiotelescópio de baixo custo para análise de micro-ondas solares em 12 ghz,CESAR HIPOLITO PINTO [BR],CESAR HIPOLITO PINTO [BR],BR202019014339U2,2019-07-10,G01J1/02,G01J1/02 (BR),2021-01-12,2021-01-12,74502156
199,"disposição técnica e construtiva aplicada em perfil ""h""",FERNANDO LUIS BURCHAUSER TEIXEIRA [BR],FERNANDO LUIS BURCHAUSER TEIXEIRA [BR],BR202019013787U2,2019-07-03,B61D27/00,B61D27/00 (BR),2021-01-12,2021-01-12,74502148
200,produto de ação desinfectante multiuso e respectiva formulação,GIOVANNI BECCARO [IT],GIOVANNI BECCARO [IT],BR102020015468A2,2020-07-29,"A01N59/00 
A01N59/08 
A01P1/00","A01N59/00 (BR) 
A01N59/08 (BR)",2021-01-19,2021-01-19,74504426
201,dispositivo e processo de gerenciamento de operações de veículos,"FELIPE LIMA FOLIATTI DA SILVA [BR] 
RENAN SIGNOR [BR]",SOFTWARE E HARDWARE SOLUCOES EM AUTOMACAO LTDA ME [BR],BR132019012358E2,2019-06-17,"G07B13/04 
G07C5/00 
G08G1/00 
G08G1/127","G07B13/04 (BR) 
G07C5/008 (BR) 
G08G1/00 (BR) 
G08G1/127 (BR)",2021-01-12,2021-01-12,74502176
202,composição de suplemento alimentar palatável composto por aminoácidos essenciais,RENILDO DA SILVA FLORES [BR],RENILDO DA SILVA FLORES [BR],BR102019014790A2,2019-07-18,"A23L33/175 
A23L35/00","A23L33/175 (BR) 
A23L35/00 (BR)",2021-01-26,2021-01-26,74504610
203,válvula de controle com comando deslizante,"JOSÉ GILBERTO DALFRÉ FILHO [BR] 
LUIZ SOUZA COSTA FILHO [BR] 
PAULO VATAVUK [BR]","INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MATO GROSSO [BR] 
UNICAMP [BR]",BR202019013142U2,2019-06-25,"F16K27/04 
F16K3/00","F16K27/04 (EP,BR) 
F16K3/00 (EP,BR)",2021-01-05,2020-12-30,74060747
204,disposição introduzida em antropômetro,CLAUDIA GUIMARÃES PINTO DIAS [BR],CLAUDIA GUIMARAES PINTO DIAS [BR],BR202019014006U2,2019-07-05,"A61B5/107 
G01B5/00","A61B5/107 (BR) 
G01B5/00 (BR)",2021-01-12,2021-01-12,74502178
205,bandana com alma de arame e método de uso,ANA LIVIA SOLUNA PAES [BR],ANA LIVIA SOLUNA PAES 4556881640 [BR],BR102019013320A2,2019-06-26,A41D23/00,"A41D23/00 (BR) 
A41D2023/004 (BR)",2021-01-05,2021-01-05,74501969
206,"selo compósito radiopaco, processo de fabricação, uso e disposição",HERNANI FINAZZI JUNIOR [BR],THOMAS GREG & SONS GRAFICA E SERVICOS IND E COMERCIO IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS LTDA [BR],BR102019013101A2,2019-06-24,G01T1/20,G01T1/2002 (BR),2021-01-05,2021-01-05,74214930
207,"métodos de escalonamento de geradores elétricos aplicados no dimensionamento, simulação e operação de sistemas de geração de energia elétrica a partir do biogás",JOALE DE CARVALHO PEREIRA [BR],JOALE DE CARVALHO PEREIRA [BR],BR102019013845A2,2019-07-03,C10L3/00,,2021-01-12,2021-01-12,74502078
208,"material compósito de matriz polimérica termofixa de poliéster com reforço de fibra natural de fique, processo de fabricação e no uso em blindagem balística","ARTUR CAMPOSO PEREIRA [BR] 
SERGIO NEVES MONTEIRO [BR]","ARTUR CAMPOSO PEREIRA [BR] 
SERGIO NEVES MONTEIRO [BR]",BR102019013496A2,2019-06-28,"C08F283/00 
C08J5/04 
D03D1/00 
F41H5/04","C08F283/002 (BR) 
C08J5/045 (BR) 
D03D1/0052 (BR) 
F41H5/0485 (BR) 
D10B2201/01 (BR) 
D10B2501/04 (BR)",2021-01-05,2021-01-05,74502012
209,"disposição construtiva aplicada em escada móvel utilizada para saída de emergência em edifícios, com dispositivo de deslocamento lateral","RENATO FIRMINO [BR] 
RODRIGO DOMINGUES DA SILVA [BR]","RENATO FIRMINO [BR] 
RODRIGO DOMINGUES DA SILVA [BR]",BR202019013089U2,2019-06-24,E06C9/12,"E04F11/04 (EP) 
E06C9/12 (EP,BR)",2021-01-05,2020-12-30,74060750
210,processo de obtenção para fungicida microbiológico a partir de fermentação líquida em fermentadores de trichoderma harzianum e produto resultante para controle de fungos causadores de doenças de solo,MARCELO DE GODOY OLIVEIRA [BR],MARCELO DE GODOY OLIVEIRA [BR],BR102019013781A2,2019-07-03,"C12P1/02 
C12R1/885",,2021-01-12,2021-01-12,74502073
211,processo de obtenção para inseticida microbiológico a partir de fermentação líquida em fermentadores de beauveria bassiana e produto resultante para controle da broca do café e mosca branca,MARCELO DE GODOY OLIVEIRA [BR],MARCELO DE GODOY OLIVEIRA [BR],BR102019013782A2,2019-07-03,A01P7/04,,2021-01-12,2021-01-12,74502081
212,simulador de remada lateral das canoas,LUIS MELO DE SOUSA REIS [BR],LUIS MELO DE SOUSA REIS [BR],BR202019013640U2,2019-06-30,A63B69/06,"A63B69/06 (BR) 
A63B2069/062 (BR)",2021-01-12,2021-01-12,74502131
213,disposição introduzida em caixa para acondionamento de gelo e refrigeração de bebidas/alimentos em geral,REINALDO FERREIRA [BR],EMPA EMPRESA PAULISTA DE EMBALAGENS EIRELI ME [BR],BR202019013946U2,2019-07-04,"B65D5/24 
B65D81/18","B65D5/247 (BR) 
B65D81/18 (BR)",2021-01-12,2021-01-12,74502129
